module,file_path,candidate_function_count,priority_high_count,priority_mid_count,priority_low_count,status,has_bench,has_unit_test
cuda,cuda/apps/src/kinect_cloud.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_debayering.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_dediscretize.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_mapping.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_normals_cuda.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_planes_cuda.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_ransac.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_segmentation_cuda.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_segmentation_planes_cuda.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_tool_standalone.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/apps/src/kinect_viewer_cuda.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/common/eigen.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/common/point_type_rgb.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/cutil.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/cutil_inline.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/cutil_inline_bankchecker.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/cutil_inline_drvapi.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/cutil_inline_runtime.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/cutil_math.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/pcl_cuda_base.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/point_cloud.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/point_types.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/thrust.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/time_cpu.h,0,0,0,0,unassessed,no,no
cuda,cuda/common/include/pcl/cuda/time_gpu.h,0,0,0,0,unassessed,no,no
cuda,cuda/features/include/pcl/cuda/features/normal_3d.h,0,0,0,0,unassessed,no,no
cuda,cuda/features/include/pcl/cuda/features/normal_3d_kernels.h,0,0,0,0,unassessed,no,no
cuda,cuda/features/src/normal_3d.cu,0,0,0,0,unassessed,no,no
cuda,cuda/filters/include/pcl/cuda/filters/filter.h,0,0,0,0,unassessed,no,no
cuda,cuda/filters/include/pcl/cuda/filters/passthrough.h,0,0,0,0,unassessed,no,no
cuda,cuda/filters/include/pcl/cuda/filters/voxel_grid.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/cloud_from_pcl.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/cloud_to_pcl.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/debayering.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/disparity_to_cloud.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/extract_indices.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/host_device.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/kinect_smoothing.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/include/pcl/cuda/io/predicate.h,0,0,0,0,unassessed,no,no
cuda,cuda/io/src/cloud_from_pcl.cu,0,0,0,0,unassessed,no,no
cuda,cuda/io/src/cloud_to_pcl.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/io/src/debayering.cu,0,0,0,0,unassessed,no,no
cuda,cuda/io/src/disparity_to_cloud.cu,0,0,0,0,unassessed,no,no
cuda,cuda/io/src/extract_indices.cu,0,0,0,0,unassessed,no,no
cuda,cuda/io/src/host_device.cu,0,0,0,0,unassessed,no,no
cuda,cuda/io/src/kinect_smoothing.cu,0,0,0,0,unassessed,no,no
cuda,cuda/nn/organized_neighbor_search.h,0,0,0,0,unassessed,no,no
cuda,cuda/nn/organized_neighbor_search.hpp,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/include/pcl/cuda/sample_consensus/msac.h,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/include/pcl/cuda/sample_consensus/multi_ransac.h,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/include/pcl/cuda/sample_consensus/ransac.h,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/include/pcl/cuda/sample_consensus/sac.h,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/include/pcl/cuda/sample_consensus/sac_model.h,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/include/pcl/cuda/sample_consensus/sac_model_1point_plane.h,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/include/pcl/cuda/sample_consensus/sac_model_plane.h,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/src/msac.cpp,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/src/multi_ransac.cu,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/src/ransac.cu,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/src/sac_model.cu,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/src/sac_model_1point_plane.cu,0,0,0,0,unassessed,no,no
cuda,cuda/sample_consensus/src/sac_model_plane.cu,0,0,0,0,unassessed,no,no
cuda,cuda/segmentation/include/pcl/cuda/segmentation/connected_components.h,0,0,0,0,unassessed,no,no
cuda,cuda/segmentation/include/pcl/cuda/segmentation/mssegmentation.h,0,0,0,0,unassessed,no,no
cuda,cuda/segmentation/src/connected_components.cu,0,0,0,0,unassessed,no,no
cuda,cuda/segmentation/src/mssegmentation.cpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/3dsc.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/board.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/boundary.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/brisk_2d.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/cppf.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/crh.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/cvfh.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/don.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/esf.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/feature.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/flare.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/fpfh.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/fpfh_omp.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/from_meshes.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/gasd.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/gfpfh.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/grsd.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/3dsc.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/board.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/boundary.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/brisk_2d.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/cppf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/crh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/cvfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/don.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/esf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/feature.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/flare.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/fpfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/fpfh_omp.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/gasd.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/gfpfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/grsd.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/integral_image2D.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/integral_image_normal.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/intensity_gradient.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/intensity_spin.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/linear_least_squares_normal.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/moment_invariants.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/moment_of_inertia_estimation.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/multiscale_feature_persistence.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/narf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/normal_3d.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/normal_3d_omp.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/normal_based_signature.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/organized_edge_detection.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/our_cvfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/pfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/pfhrgb.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/ppf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/ppfrgb.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/principal_curvatures.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/range_image_border_extractor.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/rift.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/rops_estimation.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/rsd.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot_lrf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot_lrf_omp.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot_omp.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/spin_image.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/statistical_multiscale_interest_region_extraction.hpp,0,0,0,0,unassessed,no,no
